datetime_kst,actual_kwh,pred_kwh,sigma_kwh2,cap_kw,n_sites,sigma_kwh,residual_kwh,abs_err_kwh,nmae_pct
2025-03-17 08:00:00,6734.86780096218,5976.14904499799,1229547.5367276801,77281,8,1108.8496456813612,758.7187559641898,758.7187559641898,0.9817662245107981
2025-03-17 09:00:00,24669.68014279753,23762.004172340035,4106186.6020552455,77281,8,2026.3727697675088,907.6759704574943,907.6759704574943,1.1745137491200868
2025-03-17 10:00:00,42028.082012206316,41431.62829147279,11458003.024368215,77281,8,3384.9672117124287,596.4537207335234,596.4537207335234,0.7717986577988424
2025-03-17 11:00:00,55602.41082009673,54219.35288006067,17379804.073112577,77281,8,4168.90921862213,1383.0579400360584,1383.0579400360584,1.7896480894864952
2025-03-17 12:00:00,61775.21347719431,59325.49586826563,17776915.820560466,77281,8,4216.267996766865,2449.7176089286804,2449.7176089286804,3.1698834240352483
2025-03-17 13:00:00,65578.95732823014,61065.64769667387,32674103.896300197,77281,8,5716.1266515272555,4513.3096315562725,4513.3096315562725,5.8401284035613825
2025-03-17 14:00:00,64541.24388471246,59417.22137308121,39997675.77234873,77281,8,6324.371571338035,5124.02251163125,5124.02251163125,6.63037811574805
2025-03-17 15:00:00,57296.74724690616,56738.689797997475,16753644.027818691,77281,8,4093.121550579544,558.0574489086866,558.0574489086866,0.7221146839568414
2025-03-17 16:00:00,46217.142583325505,46567.48275953531,9767031.658580627,77281,8,3125.2250572687767,-350.3401762098074,350.3401762098074,0.4533328712229492
2025-03-17 17:00:00,31340.123686105013,31284.518968194723,4116914.8504723674,77281,8,2029.0181986547996,55.604717910289764,55.604717910289764,0.07195134368122794
2025-03-17 18:00:00,13747.54773837328,11697.493952408433,1536247.717370879,77281,8,1239.4546048044192,2050.0537859648466,2050.0537859648466,2.6527267840282174
2025-03-18 08:00:00,4603.256790981628,3277.0234275236726,1484575.9956225879,77281,8,1218.4317771720287,1326.2333634579554,1326.2333634579554,1.7161182741656493
2025-03-18 09:00:00,11586.986633706838,12863.731434084475,10616732.890225202,77281,8,3258.3328390797037,-1276.7448003776371,1276.7448003776371,1.6520811070995938
2025-03-18 10:00:00,25616.069214584306,18627.615144774318,19234548.07115774,77281,8,4385.720929466185,6988.454069809988,6988.454069809988,9.042913613708398
2025-03-18 11:00:00,24042.680583291687,28418.065625578165,73986592.10723147,77281,8,8601.545913801277,-4375.385042286478,4375.385042286478,5.661656865576893
2025-03-18 12:00:00,20874.14795938367,12877.593530446291,16748970.664774708,77281,8,4092.5506306916604,7996.554428937379,7996.554428937379,10.347374424421758
2025-03-18 13:00:00,37953.31945437193,24907.7335986048,47943105.09978068,77281,8,6924.09597707749,13045.58585576713,13045.58585576713,16.880715642612195
2025-03-18 14:00:00,50840.3347748369,38789.2787976563,135687449.35002834,77281,8,11648.495583122669,12051.0559771806,12051.0559771806,15.593814750301627
2025-03-18 15:00:00,42908.61914288998,36163.64837536216,52268296.42167012,77281,8,7229.68162657735,6744.970767527819,6744.970767527819,8.727851305660923
2025-03-18 16:00:00,35890.24681511521,39179.35725697875,21700453.671507303,77281,8,4658.374573980424,-3289.110441863537,3289.110441863537,4.256040219282277
2025-03-18 17:00:00,22834.365922272205,23588.52765110135,18920117.08078544,77281,8,4349.726092616113,-754.1617288291454,754.1617288291454,0.9758695265707553
2025-03-18 18:00:00,7886.270967505872,10856.03732830286,4054348.3442304144,77281,8,2013.5412447303916,-2969.766360796988,2969.766360796988,3.8428156478267463
2025-03-19 08:00:00,7031.400877144188,5538.883689910173,1457571.2679218203,77281,8,1207.2991625615502,1492.5171872340143,1492.5171872340143,1.9312860693236555
2025-03-19 09:00:00,23556.303339220583,24302.22142533958,4813148.553855021,77281,8,2193.8889110105415,-745.9180861189961,745.9180861189961,0.9652024250708404
2025-03-19 10:00:00,40777.89367249608,40159.05540086329,11181156.228346886,77281,8,3343.82359408311,618.8382716327906,618.8382716327906,0.8007637991651124
2025-03-19 11:00:00,54764.941921800375,53667.75230541825,12159598.88984278,77281,8,3487.0616412450727,1097.189616382122,1097.189616382122,1.419740448987619
2025-03-19 12:00:00,63221.03861382604,60870.42325204611,26055450.265249234,77281,8,5104.453963476332,2350.615361779928,2350.615361779928,3.041647185957646
2025-03-19 13:00:00,65757.70956605673,61419.80671238899,29018409.242717344,77281,8,5386.873791237116,4337.902853667736,4337.902853667736,5.613155696313112
2025-03-19 14:00:00,63229.36724163592,60328.50217431784,22297507.48895509,77281,8,4722.0236645907535,2900.865067318082,2900.865067318082,3.753658813056355
2025-03-19 15:00:00,55005.468277186155,57774.280488848686,18623405.260386497,77281,8,4315.48435988204,-2768.812211662531,2768.812211662531,3.5827851757385787
2025-03-19 16:00:00,46980.71948668361,46837.24622100592,7190263.553934216,77281,8,2681.466679624085,143.4732656776905,143.4732656776905,0.18565140937318422
